DATE,LINE NO,"Needle Breakdown
 Time (Min)",Needle Breakdown Frequency,"Machine Breakdown
 Time (Min)",Machine Breakdown Frequency,No. of Absent Operators,"Bio-break
 Time (Min)",Bio-Break Frequency,Defect Rate End Line,End Line Top 3 Defects,Defect Rate  Getup,Getup Top 3 Defects
7/19/2022,21,47,4,76,12,6,,,5.29%,"Broken Stitch, Visible Join , Uncut Thread",5.29%,"Dart & B/F Rise Slanted, Out of shape Waist Belt, Broken Hem"
7/20/2022,14,7,1,38,5,,,,5.42%,"Uneven stitch at w/b top stitch, Crooked at w/b top stitch, Raw edge at  Side seam",,Wash Garments
7/20/2022,15,15,3,24,7,2,,,8.87%,"Uneven stitch at Bon Facing, Broken Stitch at w/b join, Incomplete at w/b tack",2.73%,"Broken Stitch at Bottom Hem, Crooked at Bartack, Out of shape at w/b"
7/20/2022,16,84,9,43,7,0,,,3.85%,"Broken stitch at Hem, Skip stitch at Hem, Skip stitch at W/B top stitch",13.49%,"Uncut thread at Hem, Uncut thread at W/B, Slanted at Dart"
7/20/2022,17,0,0,22,7,3,,,19.47%,"Stain at Hem, Puckering at Bottom leg top stitch, Needle mark at Bottom leg top stitch",21.91%,"Puckering at Hem, Needle Mark at Hem, Broken stitch at Hem"
7/20/2022,18,15,3,20,7,0,,,3.41%,"Broken stitch at W/B top stitch, Uncut thread at at W/B top stitch, Slanted at label",3.21%,"Skip stitch at Hem, Puckering at Dart, Spot"
7/20/2022,19,,,,,,,,,,,
7/20/2022,20,,,,,,,,,,,
7/20/2022,21,,,,,,,,,,,
7/21/2022,14,0,0,76,10,,,,5.33%,"Uneven Stitch at w/b top Stitch, Broken Stitch at w/b top Stitch, Uneven Stitch at Bottom Hem",,Wash Garments
7/21/2022,15,44,5,78,11,2,,,4.81%,"Uncut thread at Bon Facing, Uncut Thread at w/b join, Broken stitch at Bon Facing",8.33%,"Broken Stitch at Bottom Hem, Over stitch at Bartack, High low at Cross point"
7/21/2022,16,17,2,9,2,1,,,3.85%,"Broken stitch at Hem, Skip stitch at Hem, Visible stitch at W/B top stitch",13.49%,"Uncut thread at Hem, Uncut thread at W/B, Slanted at Dart"
7/21/2022,17,9,1,54,7,0,,,,,,
7/21/2022,18,28,4,28,8,1,,,3.02%,"Slanted at Label, Incomplete at Hanger loop, Visible join at W/B top stitch",3.48%,"Visible join at W/B top stitch, Skip stitch at Hem, High/Low at Dart"
